Index,Weekday
1459,Tuesday
1460,Tuesday
1461,Tuesday
1462,Tuesday
1463,Tuesday
1464,Tuesday
1465,Tuesday
1466,Tuesday
1467,Tuesday
1468,Wednesday
1469,Wednesday
1470,Wednesday
1471,Wednesday
1472,Wednesday
1473,Wednesday
1474,Thursday
1475,Thursday
1476,Thursday
1477,Thursday
1478,Thursday
1479,Thursday
1480,Thursday
1481,Thursday
1482,Thursday
1483,Thursday
1484,Thursday
1485,Thursday
1486,Friday
1487,Friday
1488,Friday
1489,Friday
1490,Saturday
1491,Saturday
1492,Saturday
1493,Saturday
1494,Saturday
1495,Saturday
1496,Saturday
1497,Sunday
1498,Sunday
1499,Sunday
1500,Sunday
1501,Sunday
1502,Sunday
1503,Sunday
1504,Sunday
1505,Sunday
1506,Sunday
1507,Sunday
1508,Monday
1509,Monday
1510,Monday
1511,Monday
1512,Monday
1513,Monday
1514,Monday
1515,Tuesday
1516,Tuesday
1517,Tuesday
1518,Tuesday
1519,Wednesday
1520,Wednesday
1521,Wednesday
1522,Wednesday
1523,Wednesday
1524,Wednesday
1525,Wednesday
1526,Thursday
1527,Thursday
1528,Friday
1529,Friday
1530,Friday
1531,Saturday
1532,Saturday
1533,Saturday
1534,Saturday
1535,Saturday
1536,Saturday
1537,Saturday
1538,Saturday
1539,Saturday
1540,Saturday
1541,Sunday
1542,Sunday
1543,Sunday
1544,Sunday
1545,Sunday
1546,Sunday
1547,Sunday
1548,Monday
1549,Monday
1550,Monday
1551,Monday
1552,Monday
1553,Monday
1554,Monday
1555,Monday
1556,Monday
1557,Monday
1558,Monday
1559,Tuesday
1560,Monday
1561,Tuesday
1562,Tuesday
1563,Tuesday
1564,Tuesday
1565,Tuesday
1566,Tuesday
1567,Tuesday
1568,Tuesday
1569,Tuesday
1570,Tuesday
1571,Tuesday
1572,Tuesday
1573,Tuesday
1574,Tuesday
1575,Wednesday
1576,Wednesday
1577,Wednesday
1578,Wednesday
1579,Wednesday
1580,Thursday
1581,Thursday
1582,Thursday
1583,Thursday
1584,Thursday
1585,Thursday
1586,Thursday
1587,Thursday
1588,Friday
1589,Thursday
1590,Friday
1591,Friday
1592,Friday
1593,Friday
1594,Friday
1595,Friday
1596,Friday
1597,Friday
1598,Saturday
1599,Saturday
1600,Sunday
1601,Sunday
1602,Sunday
1603,Sunday
1604,Monday
1605,Monday
1606,Monday
1607,Monday
1608,Monday
1609,Monday
1610,Monday
1611,Monday
1612,Monday
1613,Tuesday
1614,Tuesday
1615,Tuesday
1616,Tuesday
1617,Tuesday
1618,Wednesday
1619,Wednesday
1620,Wednesday
1621,Wednesday
1622,Wednesday
1623,Thursday
1624,Thursday
1625,Thursday
1626,Thursday
1627,Thursday
1628,Thursday
1629,Thursday
1630,Thursday
1631,Thursday
1632,Friday
1633,Friday
1634,Friday
1635,Friday
1636,Friday
1637,Friday
1638,Friday
1639,Friday
1640,Friday
1641,Saturday
1642,Saturday
1643,Sunday
1644,Sunday
1645,Sunday
1646,Sunday
1647,Monday
1648,Sunday
1649,Monday
1650,Monday
1651,Monday
1652,Monday
1653,Monday
1654,Monday
1655,Monday
1656,Monday
1657,Tuesday
1658,Tuesday
1659,Tuesday
1660,Tuesday
1661,Tuesday
1662,Tuesday
1663,Tuesday
1664,Tuesday
1665,Wednesday
1666,Wednesday
1667,Wednesday
1668,Wednesday
1669,Wednesday
1670,Wednesday
1671,Wednesday
1672,Thursday
1673,Thursday
1674,Thursday
1675,Thursday
1676,Thursday
1677,Thursday
1678,Thursday
1679,Thursday
1680,Thursday
1681,Thursday
1682,Thursday
1683,Thursday
1684,Thursday
1685,Thursday
1686,Friday
1687,Friday
1688,Friday
1689,Friday
1690,Friday
1691,Friday
1692,Friday
1693,Saturday
1694,Saturday
1695,Saturday
1696,Sunday
1697,Sunday
1698,Sunday
1699,Sunday
1700,Sunday
1701,Sunday
1702,Sunday
1703,Monday
1704,Monday
1705,Monday
1706,Monday
1707,Monday
1708,Monday
1709,Monday
1710,Monday
1711,Monday
1712,Tuesday
1713,Tuesday
1714,Tuesday
1715,Tuesday
1716,Tuesday
1717,Tuesday
1718,Wednesday
1719,Wednesday
1720,Thursday
1721,Thursday
1722,Thursday
1723,Friday
1724,Friday
1725,Saturday
1726,Saturday
1727,Saturday
1728,Saturday
1729,Saturday
1730,Saturday
1731,Saturday
1732,Saturday
1733,Sunday
1734,Sunday
1735,Sunday
1736,Sunday
1737,Sunday
1738,Monday
1739,Monday
1740,Monday
1741,Monday
1742,Tuesday
1743,Tuesday
1744,Tuesday
1745,Tuesday
1746,Tuesday
1747,Tuesday
1748,Wednesday
1749,Wednesday
1750,Wednesday
1751,Wednesday
1752,Wednesday
1753,Wednesday
1754,Thursday
1755,Thursday
1756,Thursday
1757,Thursday
1758,Thursday
1759,Friday
1760,Friday
1761,Friday
1762,Friday
1763,Saturday
1764,Saturday
1765,Saturday
1766,Saturday
1767,Saturday
1768,Saturday
1769,Sunday
1770,Sunday
1771,Monday
1772,Monday
1773,Monday
1774,Monday
1775,Monday
1776,Tuesday
1777,Tuesday
1778,Tuesday
1779,Tuesday
1780,Tuesday
1781,Tuesday
1782,Tuesday
1783,Tuesday
1784,Tuesday
1785,Tuesday
1786,Wednesday
1787,Wednesday
1788,Wednesday
1789,Wednesday
1790,Thursday
1791,Thursday
1792,Thursday
1793,Thursday
1794,Thursday
1795,Thursday
1796,Thursday
1797,Saturday
1798,Saturday
1799,Saturday
1800,Saturday
1801,Sunday
1802,Sunday
1803,Sunday
1804,Monday
1805,Monday
1806,Monday
1807,Tuesday
1808,Tuesday
1809,Tuesday
1810,Tuesday
1811,Tuesday
1812,Tuesday
1813,Tuesday
1814,Tuesday
1815,Tuesday
1816,Tuesday
1817,Tuesday
1818,Wednesday
1819,Wednesday
1820,Wednesday
1821,Wednesday
1822,Wednesday
1823,Thursday
1824,Thursday
1825,Thursday
1826,Thursday
1827,Saturday
1828,Saturday
1829,Sunday
1830,Sunday
1831,Sunday
1832,Sunday
1833,Sunday
1834,Sunday
1835,Sunday
1836,Sunday
1837,Sunday
1838,Monday
1839,Monday
1840,Monday
1841,Monday
1842,Monday
1843,Tuesday
1844,Tuesday
1845,Tuesday
